rank,item_id,title,sku,units_sold,orders,unique_buyers,revenue,avg_price,price_range
24,"MLA1485713763","Cubre Alfombras Termoformadas Fiat Fastback","OE-MAT-FASG1-KIT-XI",138,138,138,35364281,280000,"premium"
25,"MLA1446868615","Alfombras Termoformadas Ford Ranger Linea Nueva Oe","OE-MAT-RAN-XI",127,127,126,34105829,280000,"premium"
26,"MLA2010279062","Cubre Alfombra Termoformadas Over Mat Toyota Hilux Oe","OE-CMT-HILRevo-KIT-XI",131,131,119,33899000,280000,"premium"
27,"MLA1474332343","Estereo Stereo Doble Din 7 Táctil Mirror Waze Camara Rev","LU-7018B-XI",429,407,398,32548720,70500,"alto"
28,"MLA1433464915","Tapa De Valvula Peugeot 207 208 308 408 1.6 Thp Turbo","OE-EVC003-XI",388,386,373,32479291,98000,"alto"
29,"MLA1991814546","Cubre Alfombra Termoformadas Renault Kangoo 2018+ Oe","OE-MAT-KANG3-KIT-XI",123,123,123,32446966,229600,"premium"
30,"MLA1432834891","Turbo Renault Clio Kangoo Logan 1.5 Dci Núcleo Central K35","OE-TUR-030013-XI",249,249,247,30896327,130000,"premium"
31,"MLA1894798122","Alfombras Termoformadas Ford Ranger Raptor Linea Nueva Oe","OE-MAT-RANT7-KIT-XI",119,119,119,30824756,280000,"premium"
32,"MLA1452083545","Cuerpo Mariposa Fiat Palio Siena Idea Fire 1.4 8v 44smf8 Oe","OE-TBI004-XI",294,293,292,29941102,99900,"alto"
33,"MLA2207587712","Funda Cubre Asiento Auto Mascota Perro Ventana + Cinturones","LB-PET001-XI",489,481,480,28359268,69990,"alto"
34,"MLA1918195928","Cuerpo Mariposa Peugeot 206 207 Partner C3 Berlingo 1.4 8v","OE-TBI001-XI",268,268,267,27860393,108500,"premium"
35,"MLA2036524856","Carburador Ford Falcon F100 188 36mm Oe","OE-CAR-FORD118H-XI",153,153,151,27437048,170000,"premium"
36,"MLA2037533072","Carburador Renault 9 11 19 2 Bocas 32/32 Drt Oe","OE-CAR-REN9AC2B-XI",123,123,123,26891700,189900,"premium"
37,"MLA2005680316","Funda Cubre Asiento Auto Universal Cuero Premium","LU-SCV1-BB-XI",195,195,194,26753370,139500,"premium"
38,"MLA1511499273","Burro De Arranque Vw Fox Suran Gol Trend Voyage 1.6 8v Oe","OE-CS001-XI",208,206,205,26697730,135000,"premium"
39,"MLA2040838792","Carburador Vw Gacel Gol Senda Saveiro 1.6 2 Bocas","OE-CAR-VW1.62B-XI",179,179,179,26509341,168900,"premium"
40,"MLA2021694980","Kit Tapas De Valvulas Volkswagen Amarok V6 Audi Q7 3.0 Oe","OE-EVCAMAV6-XI",18,18,17,26206128,1560000,"premium"
41,"MLA1485141085","Carburador Fiat 128 147 Uno Duna 1.1 1.3 1.4 1 Boca 32 Icev","OE-CAR-FIAT1.3-XI",174,174,174,26162470,127900,"premium"
42,"MLA1557073363","Set Lapices Colores 145 Piezas Grafitos Kleur Lapiz Cartuchera","KL-PRI145-XI",407,397,394,25669368,65900,"alto"
43,"MLA2030681004","Carburador Moto Cortina Plana Pwk 28mm A 34mm Hp Factory","HP-PWK28-FWRDM6-6-XI",506,490,485,25399173,53196,"alto"
44,"MLA1515461601","Intercomunicador Casco Moto Bluetooth V6 Plus 1200mt 6 Motos","ZG-IC-V6-XI",478,376,367,24736073,50916,"alto"
45,"MLA2348817928","Cubre Alfombra Termoformadas Vw Gol Trend Voyage 2007+ Oe","OE-MAT-GOLG5-KIT-XI",98,98,98,24595356,280000,"premium"
46,"MLA1532569508","Carburador Tipo Weber Vw Gacel Gol Senda Saveiro 1.6 2 Bocas","C10-1-XI",131,131,131,24561280,177500,"premium"
47,"MLA1991762622","Cubre Alfombras Termoformadas Jeep Compass 2017 - 2025 Oe","OE-MAT-COMPG2-KIT-XI",98,98,98,24251721,260400,"premium"
48,"MLA1991814544","Cubre Alfombra Termoformadas Bora Golf Mk4 Oe","OE-KIT-MAT-MK4-XI",86,86,86,22711974,280000,"premium"
49,"MLA2034831866","Carburador Ford Falcon F100 221 40mm Oe","OE-CAR-FORD-221CABLE-XI",118,118,118,21700767,184900,"premium"
50,"MLA1391723040","Arandela Anodizada Aluminio Moto Auto 6mm M6 X10 Colores Jdm","ARAN-BK-AN-AL-6-10-XI",5739,2361,1580,21681674,3900,"bajo"
51,"MLA1493620487","Kit X4 Inyector S10 Blazer Frontier Xterra 2.8 Mwm Oe","OE-FIN231-X4-XI",16,16,16,20609000,1302000,"premium"
52,"MLA1991762614","Cubre Alfombra Termoformadas Toyota Corolla 2014 Al 2020 Oe","OE-MAT-CROSSG1-KIT-XI",76,76,76,20206818,276848,"premium"
53,"MLA1993283258","Marcadores Doble Punta De Alcohol 80u  Estuche + Blender","KL-TOUCH-80-KIT-XI",933,727,717,20194691,18524,"bajo"
54,"MLA1991840798","Cubre Alfombra Termoformada Ford Ranger 2013 2023 Oe","OE-MAT-RANT6-KIT-XI",78,78,78,20170681,260400,"premium"
55,"MLA1880508252","Kit X4 Bobina Roja Red Audi Vw 2.0 Tsi Tfsi Vento Gti Oe","OE-RC-20T-X4-XI",144,143,143,20135063,128003,"premium"
56,"MLA1433529521","Tapa De Valvula Toyota Hilux Sw4 2.5 3.0 16v 2005-2015","OE-EVC002-XI",225,221,215,19561254,73350,"alto"
57,"MLA1991840802","Cubre Alfombra Termoformadas Peugeot 208 2008 Oe","OE-MAT-208G1-KIT-XI",77,77,77,19537159,260400,"premium"
